IDCLI,CODBAI,NOMEBAI,CODCID,NOMECID,CODUF,UF,PESOBRUTO,DEVOLUCAO,RECENCIA,FREQUENCIA,MONETARY,,,
173,1703,JOANA DARC,2111,VITORIA,16,ES,"14967,3685",0,1051,19,"9854,16",,,
174,1149,SEGATTO,1882,ARACRUZ,16,ES,"51473,1076","6116,5",5,848,"561309,78",,,
176,1684,ENSEADA DO SUA,2111,VITORIA,16,ES,"6258,3676",0,61,106,"52071,56",,,
179,170,GLORIA,2107,VILA VELHA,16,ES,"111210,1802","2748,05",14,981,"253020,58",,,
180,182,SANTO ANTONIO,2043,RIO BANANAL,16,ES,"17034,5435",0,57,113,"53921,92",,,
181,1684,ENSEADA DO SUA,2111,VITORIA,16,ES,"3,83",0,1573,3,25,,,
182,1641,VILA GARRIDO,2107,VILA VELHA,16,ES,"21699,567","501,99",7,150,"43889,64",,,
183,1252,VILA CAPIXABA,1912,CARIACICA,16,ES,"297,4224",0,1496,13,"2259,84",,,
184,1545,VISTA DA SERRA I,2091,SERRA,16,ES,"5009,4",0,37,86,"32362,96",,,
185,1614,BARRA DO JUCU,2107,VILA VELHA,16,ES,"97,2916","680,86",1538,4,"680,86",,,
186,1394,MUQUICABA,1947,GUARAPARI,16,ES,"32572,8826","261,8",106,131,"84181,1",,,
187,1525,JARDIM DA SERRA,2091,SERRA,16,ES,"1501,3596",0,1289,66,"14280,65",,,
188,1248,ITACIBA,1912,CARIACICA,16,ES,"1541,5068",0,709,61,"13793,47",,,
189,45,NOVO HORIZONTE,2091,SERRA,16,ES,"7044,2976",0,8,108,"23527,04",,,
192,263,SAO PEDRO,2111,VITORIA,16,ES,"13049,15232","66,18",1156,40,"17104,66",,,
193,1302,PARQUE RESL MARACANA,1912,CARIACICA,16,ES,"22372,79045",0,69,125,"16274,55",,,
195,317,ITAPUA,2107,VILA VELHA,16,ES,"2508,7074",0,104,70,"20280,68",,,
197,18616,FAROL DE SAO TOME,6990,CAMPOS DOS GOYTACAZES,7,RJ,"34110,07285",0,28,71,"33262,82",,,
198,1394,MUQUICABA,1947,GUARAPARI,16,ES,"886,857",0,455,20,"8170,01",,,
199,39,BELA VISTA,1882,ARACRUZ,16,ES,"2167,841",0,519,32,"18967,54",,,
200,1563,CIVIT II,2091,SERRA,16,ES,"4892,5",0,873,79,"32403,27",,,
201,1521,CHACARA PARREIRAL,2091,SERRA,16,ES,"3026,1622","731,07",77,127,"28566,2",,,
203,1,CENTRO,3418,LAJINHA,2,MG,"169156,607","11776,48",5,599,"444602,88",,,
206,1,CENTRO,556,CARAVELAS,6,BA,"54888,1651","18,94",19,327,"118746,69",,,
209,1,CENTRO,1970,ITAPEMIRIM,16,ES,"31139,9232","1952,28",16,301,"89604,51",,,
210,18802,LUIS EDUARDO MAGALHAES,998,PRADO,6,BA,"20512,2491",0,6,95,"71479,25",,,
211,1718,ILHA DE SANTA MARIA,2111,VITORIA,16,ES,"957,6268","293,51",1217,13,"3598,97",,,
212,319,TRANCOSO,994,PORTO SEGURO,6,BA,"55930,37389",0,5,343,"80977,2",,,
213,1724,ITARARE,2111,VITORIA,16,ES,"307,5168",0,1374,16,"2954,08",,,
214,223,SANTA INES,2107,VILA VELHA,16,ES,"91276,6731","65671,32",6,816,"997868,97",,,
215,18619,NOVA COREIA,556,CARAVELAS,6,BA,"415,25215",0,735,5,"1893,66",,,
218,1505,JARDIM LIMOEIRO,2091,SERRA,16,ES,"12609,3676",5988,750,80,"96203,04",,,
222,18623,BACAXA,7191,SAQUAREMA,7,RJ,"13502,3302",0,22,123,"93199,85",,,
223,1487,RIO PRETO DA BR,2083,SAO MATEUS,16,ES,"717,656",0,1727,15,"7102,71",,,
225,18829,DISTRITO ITAIMBE ,1963,ITAGUACU,16,ES,"502,8024",0,1386,9,"4096,78",,,
