IDCLI,CODBAI,NOMEBAI,CODCID,NOMECID,CODUF,UF,PESOBRUTO,DEVOLUCAO,RECENCIA,FREQUENCIA,MONETARY
185,1614,BARRA DO JUCU,2107,VILA VELHA,16,ES,97,"R$ 680,86",1538,4,"R$ 680,86"
186,1394,MUQUICABA,1947,GUARAPARI,16,ES,32573,"R$ 261,80",106,131,"R$ 84.181,10"
187,1525,JARDIM DA SERRA,2091,SERRA,16,ES,1501,"R$ 0,00",1289,66,"R$ 14.280,65"
188,1248,ITACIBA,1912,CARIACICA,16,ES,1542,"R$ 0,00",709,61,"R$ 13.793,47"
189,45,NOVO HORIZONTE,2091,SERRA,16,ES,7044,"R$ 0,00",8,108,"R$ 23.527,04"
192,263,SAO PEDRO,2111,VITORIA,16,ES,13049,"R$ 66,18",1156,40,"R$ 17.104,66"
193,1302,PARQUE RESL MARACANA,1912,CARIACICA,16,ES,22373,"R$ 0,00",69,125,"R$ 16.274,55"
195,317,ITAPUA,2107,VILA VELHA,16,ES,2509,"R$ 0,00",104,70,"R$ 20.280,68"
197,18616,FAROL DE SAO TOME,6990,CAMPOS DOS GOYTACAZES,7,RJ,34110,"R$ 0,00",28,71,"R$ 33.262,82"
198,1394,MUQUICABA,1947,GUARAPARI,16,ES,887,"R$ 0,00",455,20,"R$ 8.170,01"
